GPS time,SatPRN (ID),Sat.X,Sat.Y,Sat.Z,Pseudo-Range,CN0
2024-04-13T16:54:09.426042+00:00,G02,14641006.037404208,-4833980.273105675,22093111.704891954,22740910.302819144,42.9
2024-04-13T16:54:09.426042+00:00,G03,23134851.476466913,-12047831.174940674,4496702.45560809,24080533.382671803,39.6
2024-04-13T16:54:09.426042+00:00,G08,25038823.673441075,4795514.448226176,8085406.9764284305,21202189.207094576,40.5
2024-04-13T16:54:09.426042+00:00,G10,-1658567.4396849182,17351679.756344978,20147908.28728823,22846510.852234054,37.5
2024-04-13T16:54:09.426042+00:00,G21,15765354.874394996,1938131.3934958535,21848114.67402819,21699081.86227369,47.2
2024-04-13T16:54:09.426042+00:00,G27,23090982.49992565,13304521.105696527,-3071139.2410924206,22225447.64617509,44.2
2024-04-13T16:54:09.426042+00:00,G28,5165503.534389702,25833358.04843613,-3406233.7624988975,23748734.82318507,31.4
2024-04-13T16:54:09.426042+00:00,G32,7772261.123123637,17834535.726186994,18381883.91829562,21303167.159689832,44.1
2024-04-13T16:54:10.426042+00:00,G02,14641461.95959473,-4831328.787025042,22093423.014064316,22740441.417411186,38.4
2024-04-13T16:54:10.426042+00:00,G03,23134483.607016735,-12047320.98653914,4499868.559573108,24080056.125590052,42.6
2024-04-13T16:54:10.426042+00:00,G08,25039664.438646834,4796160.832651175,8082500.628140466,21202398.16295461,42.0
2024-04-13T16:54:10.426042+00:00,G10,-1660703.438150769,17353013.502548195,20146538.874557476,22846896.98935706,37.8
2024-04-13T16:54:10.426042+00:00,G21,15765795.297801709,1940750.2586833588,21847652.195288178,21698769.46799856,44.7
2024-04-13T16:54:10.426042+00:00,G27,23090565.086439822,13304583.8387125,-3074259.3531327406,22226017.2555009,38.1
2024-04-13T16:54:10.426042+00:00,G28,5165275.326180841,25833815.597039167,-3403095.715332142,23748233.89270166,29.8
2024-04-13T16:54:10.426042+00:00,G32,7770136.15774653,17833687.26238938,18383605.57177738,21303460.044008046,45.6
2024-04-13T16:54:11.426042+00:00,G02,14641918.047990903,-4828677.294514812,22093733.872924518,22739953.650867626,34.0
2024-04-13T16:54:11.426042+00:00,G03,23134115.437697165,-12046810.549552696,4503034.566748276,24079582.74245664,44.5
2024-04-13T16:54:11.426042+00:00,G08,25040504.909528315,4796807.020043578,8079594.111434654,21202608.933637284,43.6
2024-04-13T16:54:11.426042+00:00,G10,-1662839.2157797236,17354347.286704678,20145169.03723387,22847303.78753788,32.9
2024-04-13T16:54:11.426042+00:00,G21,15766235.868200475,1943369.0307196206,21847189.274706315,21698455.293801222,43.4
2024-04-13T16:54:11.426042+00:00,G27,23090147.32807455,13304646.428646127,-3077379.401680901,22226586.550722793,41.7
2024-04-13T16:54:11.426042+00:00,G28,5165047.102322031,25834272.766845565,-3399957.5961811715,23747771.28289641,39.3
2024-04-13T16:54:11.426042+00:00,G32,7768010.948366656,17832838.832625747,18385326.84312267,21303742.772299536,45.2
2024-04-13T16:54:12.426042+00:00,G02,14642374.302519703,-4826025.79603461,22094044.281421293,22739491.67574589,34.0
2024-04-13T16:54:12.426042+00:00,G03,23133746.968543682,-12046299.86393741,4506200.477115483,24079108.486812342,48.0
2024-04-13T16:54:12.426042+00:00,G08,25041345.086038537,4797453.010431421,8076687.426395005,21202823.892372217,43.2
2024-04-13T16:54:12.426042+00:00,G10,-1664974.7728759423,17355681.108974405,20143798.775124278,22847683.014374666,34.1
2024-04-13T16:54:12.426042+00:00,G21,15766676.585576387,1945987.7095604865,21846725.91229256,21698137.48995859,31.9
2024-04-13T16:54:12.426042+00:00,G27,23089729.2248308,13304708.875545515,-3080499.386569508,22227165.44356444,45.9
2024-04-13T16:54:12.426042+00:00,G28,5164818.862728585,25834729.557916876,-3396819.404655356,23747303.298424095,38.9
2024-04-13T16:54:12.426042+00:00,G32,7765885.495147011,17831990.436994627,18387047.73219449,21304032.969284218,41.6
2024-04-13T16:54:13.426042+00:00,G02,14642830.723245883,-4823374.291243066,22094354.23959723,22739009.597973317,44.3
2024-04-13T16:54:13.426042+00:00,G03,23133378.199593894,-12045788.929652201,4509366.290638551,24078630.32231927,50.4
2024-04-13T16:54:13.426042+00:00,G08,25042184.96815563,4798098.803862258,8073780.573018595,21203036.442977104,45.8
2024-04-13T16:54:13.426042+00:00,G10,-1667110.1090945918,17357014.969111905,20142428.088451974,22848077.56250263,28.2
2024-04-13T16:54:13.426042+00:00,G21,15767117.449894954,1948606.2950457907,21846262.10807747,21697827.50381351,45.9
2024-04-13T16:54:13.426042+00:00,G27,23089310.776671335,13304771.179464707,-3083619.307915233,22227736.553608976,40.6
2024-04-13T16:54:13.426042+00:00,G32,7763759.798089295,17831142.075530328,18388768.238986365,21304325.539498508,35.3
2024-04-13T16:54:14.426042+00:00,G02,14643287.310126511,-4820722.780424846,22094663.747421592,22738532.33646084,44.5
2024-04-13T16:54:14.426042+00:00,G03,23133009.130897384,-12045277.746672299,4512532.007179211,24078154.880060162,49.7
2024-04-13T16:54:14.426042+00:00,G08,25043024.555825785,4798744.400358721,8070873.551413186,21203251.401712034,45.5
